"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2022","17,096.0","16,974.0","17,109.0","16,917.0","0.77K","0.72%"
"12/05/2022","16,974.0","17,128.0","17,420.0","16,886.0","1.46K","-0.90%"
"12/04/2022","17,128.0","16,890.0","17,199.0","16,886.0","1.41K","1.41%"
"12/03/2022","16,890.0","17,091.0","17,135.0","16,870.0","0.69K","-1.18%"
"12/02/2022","17,091.0","16,980.0","17,100.0","16,808.0","1.53K","0.65%"
"12/01/2022","16,980.0","17,182.0","17,270.0","16,872.0","1.56K","-1.18%"
"11/30/2022","17,182.0","16,452.0","17,238.0","16,446.0","2.73K","4.44%"
"11/29/2022","16,452.0","16,215.0","16,537.0","16,102.0","1.63K","1.46%"
"11/28/2022","16,215.0","16,432.0","16,487.0","16,014.0","1.74K","-1.32%"
"11/27/2022","16,432.0","16,459.0","16,600.0","16,422.0","0.49K","-0.16%"
"11/26/2022","16,459.0","16,519.0","16,697.0","16,390.0","0.78K","-0.36%"
"11/25/2022","16,519.0","16,606.0","16,617.0","16,354.0","1.16K","-0.52%"
"11/24/2022","16,606.0","16,619.0","16,792.0","16,468.0","1.21K","-0.08%"
"11/23/2022","16,619.0","16,215.0","16,676.0","16,168.0","2.90K","2.49%"
"11/22/2022","16,215.0","15,766.0","16,279.0","15,616.0","3.20K","2.85%"
"11/21/2022","15,766.0","16,281.0","16,281.0","15,501.0","4.31K","-3.16%"
"11/20/2022","16,281.0","16,695.0","16,742.0","16,185.0","1.18K","-2.48%"
"11/19/2022","16,695.0","16,645.0","16,811.0","16,600.0","0.61K","0.37%"
"11/18/2022","16,634.0","16,827.0","16,837.0","16,550.0","1.81K","-0.43%"
"11/17/2022","16,705.0","16,676.0","16,735.0","16,413.0","1.48K","1.05%"
"11/16/2022","16,531.0","16,886.0","17,002.0","16,384.0","4.34K","-2.10%"
"11/15/2022","16,886.0","16,627.0","17,124.0","16,554.0","6.53K","1.56%"
"11/14/2022","16,627.0","16,345.0","17,188.0","15,829.0","6.71K","1.73%"
"11/13/2022","16,345.0","16,812.0","16,956.0","16,257.0","2.54K","-2.78%"
"11/12/2022","16,812.0","17,045.0","17,105.0","16,637.0","1.25K","-1.37%"
"11/11/2022","17,045.0","17,579.0","17,665.0","16,403.0","8.03K","-3.04%"
"11/10/2022","17,579.0","15,907.0","18,155.0","15,760.0","20.73K","10.51%"
"11/09/2022","15,907.0","18,557.0","18,597.0","15,603.0","18.08K","-14.28%"
"11/08/2022","18,557.0","20,610.0","20,692.0","16,950.0","20.52K","-9.96%"
"11/07/2022","20,610.0","20,932.0","21,083.0","20,423.0","1.84K","-1.54%"
"11/06/2022","20,932.0","21,313.0","21,378.0","20,913.0","1.35K","-1.79%"
"11/05/2022","21,313.0","21,168.0","21,470.0","21,105.0","1.62K","0.68%"
"11/04/2022","21,168.0","20,223.0","21,290.0","20,206.0","3.81K","4.67%"
"11/03/2022","20,223.0","20,168.0","20,403.0","20,073.0","1.24K","0.27%"
"11/02/2022","20,168.0","20,500.0","20,816.0","20,080.0","2.58K","-1.62%"
"11/01/2022","20,500.0","20,509.0","20,689.0","20,357.0","1.67K","-0.04%"
"10/31/2022","20,509.0","20,647.0","20,843.0","20,268.0","1.71K","-0.67%"
"10/30/2022","20,647.0","20,833.0","20,949.0","20,535.0","1.09K","-0.89%"
"10/29/2022","20,833.0","20,611.0","21,074.0","20,576.0","1.83K","1.08%"
"10/28/2022","20,611.0","20,303.0","20,764.0","20,055.0","2.28K","1.52%"
"10/27/2022","20,303.0","20,788.0","20,892.0","20,226.0","2.75K","-2.33%"
"10/26/2022","20,788.0","20,104.0","21,011.0","20,077.0","3.90K","3.40%"
"10/25/2022","20,104.0","19,340.0","20,430.0","19,254.0","2.76K","3.95%"
"10/24/2022","19,340.0","19,585.0","19,601.0","19,175.0","1.31K","-1.25%"
"10/23/2022","19,585.0","19,219.0","19,707.0","19,105.0","1.52K","1.90%"
"10/22/2022","19,219.0","19,175.0","19,272.0","19,125.0","0.75K","0.23%"
"10/21/2022","19,175.0","19,057.0","19,260.0","18,680.0","1.19K","0.62%"
"10/20/2022","19,057.0","19,132.0","19,345.0","18,940.0","1.27K","-0.39%"
"10/19/2022","19,132.0","19,334.0","19,361.0","19,098.0","0.86K","-1.04%"
"10/18/2022","19,334.0","19,554.0","19,705.0","19,106.0","2.12K","-1.13%"
"10/17/2022","19,554.0","19,266.0","19,683.0","19,168.0","1.45K","1.48%"
"10/16/2022","19,269.0","19,072.0","19,428.0","19,068.0","0.78K","1.03%"
"10/15/2022","19,072.0","19,187.0","19,227.0","18,993.0","0.74K","-0.60%"
"10/14/2022","19,187.0","19,387.0","19,946.0","19,103.0","2.57K","-1.03%"
"10/13/2022","19,387.0","19,158.0","19,503.0","18,200.0","6.27K","1.20%"
"10/12/2022","19,158.0","19,062.0","19,232.0","19,026.0","3.49K","0.50%"
"10/11/2022","19,062.0","19,128.0","19,260.0","18,870.0","8.84K","-0.34%"
"10/10/2022","19,128.0","19,444.4","19,527.0","19,056.0","4.69K","-1.63%"
"10/09/2022","19,444.4","19,418.0","19,551.4","19,326.0","1.12K","0.14%"
"10/08/2022","19,418.0","19,533.0","19,621.4","19,275.0","1.23K","-0.59%"
"10/07/2022","19,533.0","19,957.0","20,053.0","19,336.0","7.68K","-2.12%"
"10/06/2022","19,957.0","20,156.0","20,444.0","19,866.0","6.43K","-0.99%"
"10/05/2022","20,156.0","20,340.0","20,363.0","19,756.8","6.99K","-0.90%"
"10/04/2022","20,340.0","19,638.0","20,470.0","19,510.0","8.47K","3.57%"
"10/03/2022","19,638.0","19,066.0","19,688.0","18,985.0","10.89K","3.00%"
"10/02/2022","19,066.0","19,317.0","19,396.0","18,945.0","3.16K","-1.30%"
"10/01/2022","19,317.0","19,430.0","19,485.0","19,172.0","0.94K","-0.58%"
