"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2022","0.46076","0.45306","0.47275","0.44365","84.40M","1.70%"
"10/24/2022","0.45306","0.46891","0.47277","0.44811","67.05M","-3.38%"
"10/23/2022","0.46890","0.46546","0.47249","0.45206","43.72M","0.74%"
"10/22/2022","0.46546","0.46141","0.47053","0.45626","37.26M","0.88%"
"10/21/2022","0.46141","0.44669","0.46164","0.43469","85.75M","3.34%"
"10/20/2022","0.44651","0.45047","0.46462","0.42642","87.86M","-0.88%"
"10/19/2022","0.45048","0.46571","0.46657","0.44745","67.34M","-3.28%"
"10/18/2022","0.46577","0.48045","0.48431","0.45720","74.92M","-2.99%"
"10/17/2022","0.48014","0.47646","0.48233","0.46264","64.14M","0.75%"
"10/16/2022","0.47657","0.48181","0.48737","0.46824","43.16M","-1.09%"
"10/15/2022","0.48184","0.48824","0.49009","0.47803","38.84M","-1.34%"
"10/14/2022","0.48839","0.47911","0.51203","0.47834","100.33M","1.93%"
"10/13/2022","0.47915","0.48815","0.48944","0.44111","146.15M","-1.85%"
"10/12/2022","0.48820","0.48596","0.49571","0.48210","70.07M","0.44%"
"10/11/2022","0.48608","0.49386","0.50229","0.47776","102.85M","-1.57%"
"10/10/2022","0.49385","0.53257","0.53781","0.49353","101.50M","-7.22%"
"10/09/2022","0.53226","0.51704","0.54662","0.50593","80.22M","2.92%"
"10/08/2022","0.51714","0.51761","0.52910","0.51123","74.44M","-0.15%"
"10/07/2022","0.51791","0.49329","0.53250","0.48202","103.61M","4.95%"
"10/06/2022","0.49349","0.48872","0.50563","0.48827","88.98M","0.99%"
"10/05/2022","0.48863","0.47949","0.50148","0.47200","122.36M","1.90%"
"10/04/2022","0.47954","0.46206","0.48541","0.45156","106.61M","3.75%"
"10/03/2022","0.46222","0.44847","0.46927","0.43775","95.53M","3.07%"
"10/02/2022","0.44844","0.47547","0.47855","0.44446","82.41M","-5.69%"
"10/01/2022","0.47548","0.47986","0.48598","0.46689","74.54M","-0.91%"
"09/30/2022","0.47986","0.48755","0.49873","0.47035","150.04M","-1.51%"
"09/29/2022","0.48720","0.44918","0.50902","0.42696","149.06M","8.52%"
"09/28/2022","0.44893","0.44599","0.45546","0.41775","133.49M","0.53%"
"09/27/2022","0.44658","0.46818","0.48716","0.43576","151.25M","-4.61%"
"09/26/2022","0.46817","0.49162","0.50136","0.45797","157.17M","-4.86%"
"09/25/2022","0.49206","0.48776","0.52030","0.47583","176.98M","0.88%"
