"Date","Price","Open","High","Low","Vol.","Change %"
"11/24/2022","78.700","79.040","79.450","75.480","1.70M","-0.37%"
"11/23/2022","78.990","70.490","81.910","69.660","3.06M","11.87%"
"11/22/2022","70.610","61.370","71.110","61.220","2.21M","15.11%"
"11/21/2022","61.340","62.120","63.410","59.580","1.22M","-1.22%"
"11/20/2022","62.100","63.870","64.630","60.490","739.56K","-2.91%"
"11/19/2022","63.960","63.600","64.400","62.600","585.82K","2.62%"
"11/18/2022","62.330","62.960","63.820","61.630","850.90K","0.23%"
"11/17/2022","62.190","57.840","63.230","57.040","1.09M","9.26%"
"11/16/2022","56.920","58.010","60.160","56.820","697.99K","-1.95%"
"11/15/2022","58.050","56.700","59.520","56.500","786.14K","2.53%"
"11/14/2022","56.620","57.310","59.170","53.610","1.46M","-1.29%"
"11/13/2022","57.360","59.960","60.290","56.470","585.96K","-4.16%"
"11/12/2022","59.850","61.620","61.690","58.290","768.92K","-2.60%"
"11/11/2022","61.450","60.400","64.210","58.580","1.92M","1.60%"
"11/10/2022","60.480","50.660","61.220","50.080","2.07M","19.48%"
"11/09/2022","50.620","57.680","59.730","48.000","2.10M","-12.45%"
"11/08/2022","57.820","67.420","68.590","54.330","2.19M","-14.20%"
"11/07/2022","67.390","68.280","72.940","66.380","1.39M","-1.27%"
"11/06/2022","68.260","69.290","70.680","67.630","804.87K","-1.63%"
"11/05/2022","69.390","67.650","71.720","67.110","1.11M","2.69%"
"11/04/2022","67.570","61.850","70.210","61.690","1.44M","9.21%"
"11/03/2022","61.870","60.730","64.540","60.170","1.38M","1.66%"
"11/02/2022","60.860","55.100","62.370","54.710","2.10M","10.41%"
"11/01/2022","55.120","55.030","55.900","54.520","350.51K","0.15%"
"10/31/2022","55.040","55.350","56.400","54.070","474.61K","-0.56%"
"10/30/2022","55.350","56.590","57.470","54.730","375.73K","-2.24%"
"10/29/2022","56.620","54.910","57.480","54.700","551.72K","3.10%"
"10/28/2022","54.920","54.690","55.470","53.540","434.33K","0.35%"
"10/27/2022","54.730","56.360","56.650","54.550","429.44K","-2.96%"
"10/26/2022","56.400","55.960","57.560","55.700","516.75K","0.93%"
"10/25/2022","55.880","52.540","56.800","52.280","560.30K","6.36%"
"10/24/2022","52.540","54.030","54.200","52.110","349.61K","-2.76%"
"10/23/2022","54.030","52.190","54.030","51.830","251.14K","3.55%"
"10/22/2022","52.180","51.660","52.470","51.370","187.50K","1.12%"
"10/21/2022","51.600","51.200","51.800","49.700","305.42K","0.74%"
"10/20/2022","51.220","50.940","52.030","50.580","271.49K","0.51%"
"10/19/2022","50.960","51.860","52.000","50.810","232.71K","-1.77%"
"10/18/2022","51.880","51.890","52.170","50.750","267.16K","0.12%"
"10/17/2022","51.820","51.430","52.130","51.070","219.44K","0.80%"
"10/16/2022","51.410","50.340","51.780","50.330","230.96K","2.02%"
"10/15/2022","50.390","51.320","51.660","50.320","230.31K","-1.79%"
"10/14/2022","51.310","51.090","52.570","50.920","320.86K","0.37%"
"10/13/2022","51.120","52.210","52.500","48.390","598.84K","-2.13%"
"10/12/2022","52.230","52.030","52.940","51.690","355.75K","0.40%"
"10/11/2022","52.020","52.580","52.580","51.360","325.90K","-1.10%"
"10/10/2022","52.600","53.890","54.450","52.500","392.71K","-2.47%"
"10/09/2022","53.930","52.780","53.980","52.700","197.64K","2.16%"
"10/08/2022","52.790","52.820","53.530","52.430","244.83K","-0.08%"
"10/07/2022","52.830","53.520","53.840","52.320","353.96K","-1.31%"
"10/06/2022","53.530","54.610","55.050","53.370","389.66K","-2.00%"
"10/05/2022","54.620","55.280","55.280","53.360","340.56K","-1.18%"
"10/04/2022","55.270","54.170","55.690","53.890","379.54K","2.03%"
"10/03/2022","54.170","51.810","54.320","51.630","377.55K","4.64%"
"10/02/2022","51.770","52.900","53.450","51.700","245.70K","-2.15%"
"10/01/2022","52.910","53.460","53.820","52.530","227.99K","-1.08%"
"09/30/2022","53.490","53.980","55.070","52.870","417.56K","-0.87%"
