"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2023","1,642.18","1,585.51","1,647.28","1,560.22","474.68K","3.59%"
"01/31/2023","1,585.25","1,566.00","1,602.00","1,562.03","348.47K","1.20%"
"01/30/2023","1,566.50","1,644.81","1,647.32","1,540.29","595.08K","-4.83%"
"01/29/2023","1,646.00","1,572.11","1,657.18","1,566.91","551.82K","4.63%"
"01/28/2023","1,573.11","1,597.62","1,605.95","1,561.38","313.56K","-1.53%"
"01/27/2023","1,597.61","1,602.14","1,620.12","1,560.24","512.50K","-0.31%"
"01/26/2023","1,602.60","1,613.59","1,629.83","1,581.74","533.32K","-0.53%"
"01/25/2023","1,611.22","1,553.98","1,638.98","1,523.70","646.45K","3.55%"
"01/24/2023","1,555.97","1,626.00","1,641.20","1,539.60","462.28K","-4.34%"
"01/23/2023","1,626.53","1,627.18","1,643.71","1,591.82","407.24K","-0.03%"
"01/22/2023","1,627.01","1,626.68","1,662.10","1,609.36","431.74K","0.09%"
"01/21/2023","1,625.49","1,655.36","1,678.51","1,622.88","494.56K","-2.08%"
"01/20/2023","1,660.02","1,550.81","1,662.28","1,543.24","440.92K","7.02%"
"01/19/2023","1,551.09","1,510.63","1,560.69","1,510.63","308.69K","2.64%"
"01/18/2023","1,511.24","1,566.18","1,604.75","1,505.36","752.35K","-3.41%"
"01/17/2023","1,564.63","1,576.60","1,603.29","1,544.30","506.70K","-0.78%"
"01/16/2023","1,576.93","1,551.79","1,598.18","1,526.46","574.57K","1.56%"
"01/15/2023","1,552.69","1,549.31","1,564.36","1,517.35","387.73K","0.17%"
"01/14/2023","1,550.06","1,450.88","1,574.44","1,449.48","940.70K","6.84%"
"01/13/2023","1,450.89","1,415.15","1,463.51","1,402.01","499.35K","2.46%"
"01/12/2023","1,416.08","1,389.52","1,435.99","1,365.45","878.39K","1.89%"
"01/11/2023","1,389.84","1,335.63","1,392.37","1,322.10","472.34K","4.10%"
"01/10/2023","1,335.14","1,320.33","1,344.42","1,316.92","459.70K","1.11%"
