"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2022","0.100190","0.101530","0.102730","0.098110","1.15B","-1.27%"
"12/05/2022","0.101480","0.104160","0.111590","0.099570","2.11B","-2.53%"
"12/04/2022","0.104110","0.099670","0.105450","0.099550","1.61B","4.52%"
"12/03/2022","0.099610","0.102160","0.102840","0.098690","1.36B","-2.55%"
"12/02/2022","0.102220","0.101650","0.103400","0.096910","1.56B","0.49%"
"12/01/2022","0.101720","0.106710","0.107730","0.100520","1.93B","-4.75%"
"11/30/2022","0.106790","0.101500","0.109890","0.100000","2.79B","5.22%"
"11/29/2022","0.101490","0.095080","0.105030","0.093720","2.91B","6.66%"
"11/28/2022","0.095150","0.098750","0.099450","0.090770","3.34B","-3.44%"
"11/27/2022","0.098540","0.088880","0.107780","0.088820","4.27B","10.82%"
"11/26/2022","0.088920","0.089400","0.095390","0.087580","1.91B","-0.49%"
"11/25/2022","0.089360","0.081450","0.091500","0.080790","2.50B","9.68%"
"11/24/2022","0.081470","0.082010","0.084170","0.080570","739.16M","-0.65%"
"11/23/2022","0.082000","0.078750","0.083490","0.077860","1.26B","4.13%"
"11/22/2022","0.078750","0.074620","0.079630","0.073370","1.45B","5.45%"
"11/21/2022","0.074680","0.076950","0.077310","0.071550","1.87B","-3.13%"
"11/20/2022","0.077090","0.084470","0.085820","0.076600","1.17B","-8.82%"
"11/19/2022","0.084550","0.083870","0.084990","0.083780","489.69M","0.30%"
"11/18/2022","0.084300","0.085900","0.085910","0.083690","828.53M","-0.85%"
"11/17/2022","0.085020","0.085850","0.087210","0.082770","1.14B","0.16%"
"11/16/2022","0.084880","0.086980","0.091150","0.083690","1.60B","-2.49%"
"11/15/2022","0.087050","0.085930","0.089500","0.085210","1.32B","1.32%"
"11/14/2022","0.085920","0.084850","0.090970","0.079530","2.53B","1.03%"
"11/13/2022","0.085040","0.088080","0.091400","0.083200","2.19B","-3.47%"
"11/12/2022","0.088100","0.085110","0.094510","0.078660","3.87B","3.49%"
"11/11/2022","0.085130","0.089420","0.092850","0.080250","2.60B","-5.16%"
"11/10/2022","0.089760","0.073970","0.093870","0.073490","4.92B","20.86%"
"11/09/2022","0.074270","0.088290","0.092080","0.070660","5.78B","-15.97%"
"11/08/2022","0.088390","0.111410","0.112600","0.078000","6.87B","-20.52%"
"11/07/2022","0.111210","0.114730","0.118970","0.107960","1.96B","-3.08%"
"11/06/2022","0.114750","0.124350","0.127600","0.112890","1.83B","-7.80%"
"11/05/2022","0.124460","0.126260","0.135510","0.122380","2.58B","-1.29%"
"11/04/2022","0.126090","0.122220","0.129060","0.115570","4.49B","3.09%"
"11/03/2022","0.122310","0.127470","0.136940","0.120150","3.81B","-4.27%"
"11/02/2022","0.127770","0.141810","0.147590","0.122290","6.44B","-10.16%"
"11/01/2022","0.142220","0.127180","0.158250","0.124890","9.95B","12.13%"
"10/31/2022","0.126830","0.117550","0.130870","0.114410","7.42B","7.80%"
"10/30/2022","0.117650","0.121440","0.143010","0.112220","9.16B","-3.49%"
"10/29/2022","0.121910","0.083830","0.150000","0.083060","15.31B","45.55%"
"10/28/2022","0.083760","0.076820","0.088320","0.072660","6.30B","9.02%"
"10/27/2022","0.076830","0.072600","0.085450","0.071770","5.26B","5.54%"
